strain,date,country
EPI_ISL_424396,2020-03-19,Iceland
EPI_ISL_455435,2020-03-20,Mexico
EPI_ISL_413561,2020-02-27,USA
EPI_ISL_413559,2020-02-27,USA
EPI_ISL_435142,2020-03-14,United Arab Emirates
EPI_ISL_419228,2020-02-17,Hong Kong
EPI_ISL_419554,2020-02-26,USA
EPI_ISL_457726,2020-02-06,Taiwan
EPI_ISL_422428,2020-02-06,Singapore
EPI_ISL_410486,2020-02-08,France
EPI_ISL_426169,2020-02-05,South Korea
EPI_ISL_426166,2020-02-04,South Korea
EPI_ISL_411927,2020-01-28,Taiwan
EPI_ISL_424577,2020-03-27,Iceland
EPI_ISL_456393,2020-04-25,New Zealand
EPI_ISL_422053,2020-03-24,United Kingdom
EPI_ISL_421656,2020-03-25,Latvia
EPI_ISL_414509,2020-02-28,Germany
EPI_ISL_429814,2020-03-15,Canada
EPI_ISL_414574,2020-02-28,Germany
EPI_ISL_414499,2020-02-26,Germany
EPI_ISL_414506,2020-02-27,Germany
EPI_ISL_413488,2020-02-28,Germany
EPI_ISL_414508,2020-02-27,Germany
EPI_ISL_430848,2020-03-11,Sweden
EPI_ISL_455975,2020-05-11,Belgium
EPI_ISL_419655,2020-02-26,Austria
EPI_ISL_414505,2020-02-27,Germany
EPI_ISL_414504,2020-02-26,Germany
EPI_ISL_414498,2020-02-26,Germany
EPI_ISL_414497,2020-02-25,Germany
EPI_ISL_456186,2020-03-20,New Zealand
EPI_ISL_456221,2020-03-22,New Zealand
EPI_ISL_418328,2020-03-20,Canada
EPI_ISL_416488,2020-03-03,Poland
EPI_ISL_428959,2020-04-01,Luxembourg
EPI_ISL_462154,2020-04-23,Belgium
EPI_ISL_420069,2020-03-17,Senegal
EPI_ISL_466905,2020-05-02,Germany
EPI_ISL_417459,2020-03-11,Germany
EPI_ISL_419242,2020-02-23,Hong Kong
EPI_ISL_457986,2020-03-20,Oman
EPI_ISL_424703,2020-03-15,Sweden
EPI_ISL_435133,2020-03-10,United Arab Emirates
EPI_ISL_447767,2020-04-01,Colombia
EPI_ISL_454942,2020-03-02,China
EPI_ISL_413596,2020-02-28,Australia
EPI_ISL_413594,2020-02-28,Australia
EPI_ISL_427643,2020-02-28,Australia
EPI_ISL_420789,2020-03-01,USA
EPI_ISL_454955,2020-03-01,China
EPI_ISL_447253,2020-03-11,Taiwan
EPI_ISL_444849,2020-04-03,Denmark
EPI_ISL_430442,2020-02-29,Malaysia
EPI_ISL_430441,2020-02-29,Malaysia
EPI_ISL_430440,2020-03-05,Malaysia
EPI_ISL_430297,2020-03-06,South Africa
EPI_ISL_454969,2020-03-16,China
EPI_ISL_437883,2020-03-15,Greece
EPI_ISL_435127,2020-03-15,United Arab Emirates
EPI_ISL_447621,2020-04-13,Taiwan
EPI_ISL_457997,2020-03-28,Oman
EPI_ISL_420151,2020-03-17,Norway
EPI_ISL_455397,2020-03-16,China
EPI_ISL_439363,2020-05-01,United Kingdom
EPI_ISL_416601,2020-02-16,Japan
EPI_ISL_416570,2020-02-15,Japan
EPI_ISL_408430,2020-01-29,France
EPI_ISL_419832,2020-02-21,Australia
EPI_ISL_419735,2020-02-24,Australia
EPI_ISL_421235,2020-01-20,China
