edges/dates,2017-12,2019-9,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4
Latvia->UnitedArabEmirates,0,0,0,0,0,48,0,0
UnitedArabEmirates->Luxembourg,0,0,0,6,0,130,0,0
UnitedArabEmirates->Norway,0,0,0,0,0,88,0,0
UnitedArabEmirates->Italy,0,0,0,0,0,91,0,0
UnitedArabEmirates->China,0,0,66,16,0,66,0,0
China->Spain,0,0,0,200,0,28,0,0
China->Latvia,0,0,200,0,0,29,0,0
Spain->BosniaandHerzegovina,0,0,0,1,0,36,0,0
BosniaandHerzegovina->Italy,0,0,0,3,0,111,0,0
BosniaandHerzegovina->Brazil,0,0,0,0,0,39,0,0
BosniaandHerzegovina->Russia,0,0,0,1,0,70,0,0
Italy->Senegal,0,0,0,6,0,163,0,0
Italy->UnitedKingdom,0,0,0,8,0,131,5,0
Italy->Hungary,0,0,0,0,0,90,0,0
Italy->BosniaandHerzegovina,0,0,0,68,0,103,0,0
BosniaandHerzegovina->Poland,0,0,0,0,0,76,0,0
BosniaandHerzegovina->UnitedKingdom,0,0,0,0,0,51,0,0
BosniaandHerzegovina->Switzerland,0,0,0,54,0,55,17,0
Switzerland->China,0,0,0,0,0,100,0,0
Switzerland->Denmark,0,0,0,17,0,100,0,0
Switzerland->BosniaandHerzegovina,0,0,0,36,0,81,0,0
BosniaandHerzegovina->Morocco,0,0,0,0,0,33,0,0
Morocco->France,0,0,0,0,6,119,0,0
Chile->BosniaandHerzegovina,0,0,0,0,0,14,0,0
Chile->India,0,0,0,0,0,63,0,0
Italy->Luxembourg,0,0,0,47,15,37,0,0
Luxembourg->Taiwan,0,0,0,0,0,4,0,0
Luxembourg->Chile,0,0,0,0,0,4,1,0
Chile->Morocco,0,0,0,0,0,0,33,0
Luxembourg->UnitedKingdom,0,0,0,0,0,9,0,0
Luxembourg->Georgia,0,0,0,0,0,21,0,0
France->Israel,0,0,0,0,108,22,23,0
Israel->Mexico,0,0,0,0,0,0,73,0
France->Switzerland,0,0,0,0,0,29,38,0
France->Austria,0,0,0,0,30,11,0,0
France->Luxembourg,0,0,0,0,7,15,107,0
France->Singapore,0,0,0,0,7,56,37,0
France->Nigeria,0,0,0,0,0,47,100,0
France->Taiwan,0,0,7,0,0,102,34,0
Taiwan->Canada,0,0,6,6,6,75,0,0
Canada->Sweden,0,0,0,0,0,22,0,0
Sweden->UnitedArabEmirates,0,0,0,10,14,231,0,0
Sweden->Taiwan,0,0,44,21,0,78,0,0
Taiwan->UnitedArabEmirates,0,0,37,0,4,52,26,0
UnitedArabEmirates->Russia,0,0,0,1,0,58,0,0
UnitedArabEmirates->Sweden,0,0,0,0,24,142,0,0
UnitedArabEmirates->USA,0,0,17,0,34,74,0,0
USA->Turkey,0,0,0,0,24,83,81,0
Turkey->USA,0,0,0,0,9,0,19,0
Turkey->Sweden,0,0,0,0,31,40,0,0
Sweden->Norway,0,0,0,1,51,42,36,0
Norway->France,0,0,0,0,0,202,0,0
France->Canada,0,0,0,0,0,107,31,0
France->Belgium,0,0,0,0,0,101,31,0
France->Finland,0,0,0,0,64,70,0,0
France->Jordan,0,0,0,0,0,43,0,0
Jordan->Chile,0,0,0,0,0,56,0,0
Jordan->Denmark,0,0,0,0,0,29,0,0
Denmark->Israel,0,0,0,0,10,34,0,0
Israel->Austria,0,0,0,0,6,69,1,0
Israel->Senegal,0,0,0,0,0,41,0,0
Israel->Australia,0,0,0,0,200,100,6,0
Israel->Luxembourg,0,0,0,0,0,144,0,0
Israel->Jordan,0,0,0,0,0,100,0,0
Israel->Vietnam,0,0,0,0,33,82,0,0
Vietnam->USA,0,0,0,0,4,14,19,0
USA->Canada,0,0,100,0,194,386,87,0
Canada->Argentina,0,0,0,0,0,0,62,0
Argentina->Israel,0,0,0,0,0,0,59,0
Israel->Canada,0,0,0,0,0,41,152,0
Israel->Denmark,0,0,0,0,121,100,0,0
Denmark->Colombia,0,0,0,0,0,105,0,0
Denmark->Netherlands,0,0,0,0,0,107,0,0
Denmark->France,0,0,0,0,0,115,0,0
Denmark->Germany,0,0,0,3,76,100,0,0
Germany->France,0,0,0,138,23,100,0,0
Germany->Senegal,0,0,10,24,119,100,0,0
Germany->Austria,0,0,7,31,5,117,23,0
